hive,direction,month,dayofmonth,year,hourofday,temp,weight
99,West,11,26,2019,11,18.3935,
99,West,11,26,2019,12,22.054,
99,West,11,26,2019,13,19.4265,
99,West,11,26,2019,14,24.2435,
99,West,11,26,2019,15,26.338,
99,West,11,26,2019,16,28.274,
99,West,11,26,2019,17,29.0545,
99,West,11,26,2019,18,29.0235,
99,West,11,26,2019,19,28.399,
99,West,11,26,2019,20,27.618,
99,West,11,26,2019,21,27.3685,
99,West,11,26,2019,22,27.5555,
99,West,11,26,2019,23,27.0565,
99,West,11,27,2019,0,26.9315,
99,West,11,27,2019,1,27.025,
99,West,11,27,2019,2,26.775,
99,West,11,27,2019,3,26.556,
99,West,11,27,2019,4,26.4,
99,West,11,27,2019,5,26.057,
99,West,11,27,2019,6,26.4625,
99,West,11,27,2019,7,26.0255,
99,West,11,27,2019,8,26.119,
99,West,11,27,2019,9,25.619,
99,West,11,27,2019,10,26.4,
99,West,11,27,2019,11,26.5875,
99,West,11,27,2019,12,26.8065,
99,West,11,27,2019,13,27.1815,
99,West,11,27,2019,14,27.837,
99,West,11,27,2019,15,28.399,
99,West,11,27,2019,16,28.5865,
99,West,11,27,2019,17,28.805,
99,West,11,27,2019,18,29.086,
99,West,11,27,2019,19,29.3355,
99,West,11,27,2019,20,29.336,
99,West,11,27,2019,21,29.1485,
99,West,11,27,2019,22,28.711,
99,West,11,27,2019,23,28.087,
99,West,11,28,2019,0,28.3055,
99,West,11,28,2019,1,28.1495,
99,West,11,28,2019,2,28.524,
99,West,11,28,2019,3,28.4305,
99,West,11,28,2019,4,28.118,
99,West,11,28,2019,5,28.087,
99,West,11,28,2019,6,28.087,
99,West,11,28,2019,7,28.1805,
99,West,11,28,2019,8,28.087,
99,West,11,28,2019,9,27.6495,
99,West,11,28,2019,10,27.4,
99,West,11,28,2019,11,27.962,
99,West,11,28,2019,12,28.212,
99,West,11,28,2019,13,28.555,
99,West,11,28,2019,14,28.836,
99,West,11,28,2019,15,28.992,
99,West,11,28,2019,16,28.5865,
99,West,11,28,2019,17,27.8995,
99,West,11,28,2019,18,27.5245,
99,West,11,28,2019,19,27.119,
99,West,11,28,2019,20,27.0565,
99,West,11,28,2019,21,26.4625,
99,West,11,28,2019,22,26.0255,
99,West,11,28,2019,23,26.119,
99,West,11,29,2019,0,25.338,
99,West,11,29,2019,1,25.213,
99,West,11,29,2019,2,25.5255,
99,West,11,29,2019,3,24.932,
99,West,11,29,2019,4,24.4005,
99,West,11,29,2019,5,23.6185,
99,West,11,29,2019,6,23.994,
99,West,11,29,2019,7,25.088,
99,West,11,29,2019,8,25.7445,
99,West,11,29,2019,9,25.994,
99,West,11,29,2019,10,26.1815,
99,West,11,29,2019,11,26.4315,
99,West,11,29,2019,12,26.244,
99,West,11,29,2019,13,26.088,
99,West,11,29,2019,14,25.9005,
99,West,11,29,2019,15,25.9005,
99,West,11,29,2019,16,25.8695,
99,West,11,29,2019,17,25.369,
99,West,11,29,2019,18,25.1815,
99,West,11,29,2019,19,25.4315,
99,West,11,29,2019,20,25.307,
99,West,11,29,2019,21,24.9005,
99,West,11,29,2019,22,25.3065,
99,West,11,29,2019,23,24.9005,
99,West,11,30,2019,0,24.4945,
99,West,11,30,2019,1,23.7125,
99,West,11,30,2019,2,24.5255,
99,West,11,30,2019,3,25.119,
99,West,11,30,2019,4,25.713,
99,West,11,30,2019,5,25.588,
99,West,11,30,2019,6,25.1505,
99,West,11,30,2019,7,24.15,
99,West,11,30,2019,8,24.15,
99,West,11,30,2019,9,24.15,
99,West,11,30,2019,10,24.5255,
99,West,11,30,2019,11,24.8695,
99,West,11,30,2019,12,25.338,
99,West,11,30,2019,13,25.3695,
99,West,11,30,2019,14,25.1505,
99,West,11,30,2019,15,25.1815,
99,West,11,30,2019,16,25.1505,
99,West,11,30,2019,17,25.1815,
99,West,11,30,2019,18,24.8695,
99,West,11,30,2019,19,25.2755,
99,West,11,30,2019,20,24.9315,
99,West,11,30,2019,21,24.7755,
99,West,11,30,2019,22,24.807,
99,West,11,30,2019,23,24.1185,
99,West,12,1,2019,0,23.65,
99,West,12,1,2019,1,23.212,
99,West,12,1,2019,2,22.8995,
99,West,12,1,2019,3,23.994,
99,West,12,1,2019,4,23.8685,
99,West,12,1,2019,5,24.713,
99,West,12,1,2019,6,24.6195,
99,West,12,1,2019,7,24.338,
99,West,12,1,2019,8,23.3685,
99,West,12,1,2019,9,23.3375,
99,West,12,1,2019,10,23.9935,
99,West,12,1,2019,11,24.1815,
99,West,12,1,2019,12,24.463,
99,West,12,1,2019,13,25.0255,
99,West,12,1,2019,14,25.713,
99,West,12,1,2019,15,27.4935,
99,West,12,1,2019,16,27.712,
99,West,12,1,2019,17,26.9625,
99,West,12,1,2019,18,27.025,
99,West,12,1,2019,19,26.4005,
99,West,12,1,2019,20,26.525,
99,West,12,1,2019,21,26.0255,
99,West,12,1,2019,22,25.557,
99,West,12,1,2019,23,25.5565,
99,West,12,2,2019,0,25.5255,
99,West,12,2,2019,1,25.338,
99,West,12,2,2019,2,25.088,
99,West,12,2,2019,3,25.0255,
99,West,12,2,2019,4,24.6505,
99,West,12,2,2019,5,24.588,
99,West,12,2,2019,6,24.807,
99,West,12,2,2019,7,25.213,
99,West,12,2,2019,8,24.7755,
99,West,12,2,2019,9,24.4315,
99,West,12,2,2019,10,25.7755,
99,West,12,2,2019,11,25.588,
99,West,12,2,2019,12,26.525,
99,West,12,2,2019,13,31.8315,
99,West,12,2,2019,14,33.2975,
99,West,12,2,2019,15,33.2975,
99,West,12,2,2019,16,33.422,
99,West,12,2,2019,17,33.36,
99,West,12,2,2019,18,32.518,
99,West,12,2,2019,19,31.832,
99,West,12,2,2019,20,31.6445,
99,West,12,2,2019,21,31.9255,
99,West,12,2,2019,22,32.6425,
99,West,12,2,2019,23,32.7365,
99,West,12,3,2019,0,32.4865,30.91180233
99,West,12,3,2019,1,32.4865,30.91388803583333
99,West,12,3,2019,2,32.58,30.916182316666664
99,West,12,3,2019,3,32.736,30.917590171666664
99,West,12,3,2019,4,32.424,30.91993659666667
99,West,12,3,2019,5,32.518,30.920405881666667
99,West,12,3,2019,6,33.017,30.91931088333333
99,West,12,3,2019,7,33.3915,30.91993659666667
99,West,12,3,2019,8,33.4535,30.90877805166667
99,West,12,3,2019,9,33.079,30.878795990833336
99,West,12,3,2019,10,33.048,30.79734906333333
99,West,12,3,2019,11,32.9545,30.7395227875
99,West,12,3,2019,12,33.1105,30.775292695
99,West,12,3,2019,13,33.2355,30.77159056083333
99,West,12,3,2019,14,33.048,30.759962734166667
99,West,12,3,2019,15,33.079,30.69572290416667
99,West,12,3,2019,16,32.3,30.6962443325
99,West,12,3,2019,17,31.489,30.68644150333333
99,West,12,3,2019,18,31.8315,30.66850440916667
99,West,12,3,2019,19,31.9255,30.655364445
99,West,12,3,2019,20,31.8005,30.642954475
99,West,12,3,2019,21,31.52,30.644675183333334
99,West,12,3,2019,22,31.3015,30.62600808833333
99,West,12,3,2019,23,31.2395,30.62757237166667
99,West,12,4,2019,0,31.5825,30.61015670333333
99,West,12,4,2019,1,31.7385,30.60473386166667
99,West,12,4,2019,2,31.364,30.60676742833333
99,West,12,4,2019,3,31.3955,30.59221961
99,West,12,4,2019,4,31.3955,30.591593898333333
99,West,12,4,2019,5,31.4575,30.593314610000004
99,West,12,4,2019,6,31.6445,30.593001753333336
99,West,12,4,2019,7,31.458,30.59425318
99,West,12,4,2019,8,30.896,30.57084109666667
99,West,12,4,2019,9,30.927,30.544717595833333
99,West,12,4,2019,10,31.4575,30.494504155833337
99,West,12,4,2019,11,32.2065,30.44126644416667
99,West,12,4,2019,12,32.2375,30.42087863916667
99,West,12,4,2019,13,32.2375,30.37869518
99,West,12,4,2019,14,32.362,30.332809586666663
99,West,12,4,2019,15,32.6115,30.29469326083333
99,West,12,4,2019,16,32.8925,30.293024693333336
99,West,12,4,2019,17,32.861,30.283065435833333
99,West,12,4,2019,18,31.9875,30.26189549
99,West,12,4,2019,19,31.333,30.244584110833333
99,West,12,4,2019,20,31.052,30.231027000833336
99,West,12,4,2019,21,30.896,30.212255626666664
99,West,12,4,2019,22,31.3015,30.2114734825
99,West,12,4,2019,23,31.364,30.19191996416667
99,West,12,5,2019,0,31.0205,30.19285853
99,West,12,5,2019,1,30.584,30.191189965000003
99,West,12,5,2019,2,30.397,30.17784143333333
99,West,12,5,2019,3,30.584,30.17909286
99,West,12,5,2019,4,30.522,30.180031425
99,West,12,5,2019,5,30.0845,30.18206498833333
99,West,12,5,2019,6,30.3345,30.18383784166667
99,West,12,5,2019,7,30.022,30.190199258333333
99,West,12,5,2019,8,29.4605,30.1665264625
99,West,12,5,2019,9,29.0545,30.13962081833333
99,West,12,5,2019,10,29.4295,30.0935787975
99,West,12,5,2019,11,29.648,30.08513167583333
99,West,12,5,2019,12,29.7725,30.074755274166662
99,West,12,5,2019,13,29.554,30.07334742333333
99,West,12,5,2019,14,29.523,30.051499625833333
99,West,12,5,2019,15,29.2105,30.03768180333333
99,West,12,5,2019,16,28.899,30.032884671666665
99,West,12,5,2019,17,28.5865,30.030068969166667
99,West,12,5,2019,18,28.805,30.036899663333333
99,West,12,5,2019,19,28.399,30.042687508333334
99,West,12,5,2019,20,27.931,30.045972495
99,West,12,5,2019,21,27.5875,30.054419619166666
99,West,12,5,2019,22,27.1815,30.073816705
99,West,12,5,2019,23,26.775,30.076006701666667
99,West,12,6,2019,0,26.6185,30.095768795
99,West,12,6,2019,1,26.2755,30.101817345
99,West,12,6,2019,2,25.713,30.10781376
99,West,12,6,2019,3,25.3695,30.1201194425
99,West,12,6,2019,4,25.6815,30.129244413333332
99,West,12,6,2019,5,25.432,30.14546080166667
99,West,12,6,2019,6,25.0565,30.14801579583333
99,West,12,6,2019,7,25.0255,30.14671222833333
99,West,12,6,2019,8,25.4945,30.144991516666668
99,West,12,6,2019,9,26.057,30.131695125
99,West,12,6,2019,10,26.713,30.076736700833333
99,West,12,6,2019,11,27.2435,30.042843931666667
99,West,12,6,2019,12,27.2435,30.01922328333333
99,West,12,6,2019,13,27.5245,30.01432187
99,West,12,6,2019,14,28.1495,29.992369785833333
99,West,12,6,2019,15,27.8995,29.97636196833333
99,West,12,6,2019,16,27.7745,29.97375483083333
99,West,12,6,2019,17,27.5245,29.960979865
99,West,12,6,2019,18,26.9315,29.96118843833333
99,West,12,6,2019,19,26.806,29.9545141725
99,West,12,6,2019,20,26.6185,29.96775841833333
99,West,12,6,2019,21,26.525,29.97010484333333
99,West,12,6,2019,22,26.182,29.9721384075
99,West,12,6,2019,23,25.963,29.98100266833333
99,West,12,7,2019,0,25.338,29.99075336
99,West,12,7,2019,1,25.369,29.991535501666664
99,West,12,7,2019,2,25.1505,30.000973331666668
99,West,12,7,2019,3,24.9315,30.02110042166667
99,West,12,7,2019,4,25.0255,30.0228211275
99,West,12,7,2019,5,24.8695,30.0384118
99,West,12,7,2019,6,24.713,30.047223921666667
99,West,12,7,2019,7,25.0255,30.053689618333333
99,West,12,7,2019,8,25.2755,30.0481624925
99,West,12,7,2019,9,25.557,30.036534665
99,West,12,7,2019,10,25.9005,29.979699100833333
99,West,12,7,2019,11,26.4625,29.929694235
99,West,12,7,2019,12,27.025,29.91900497583333
99,West,12,7,2019,13,27.712,29.90148502166667
99,West,12,7,2019,14,27.993,29.88500792583333
99,West,12,7,2019,15,28.0245,29.87207653
99,West,12,7,2019,16,27.4,29.86634083083333
99,West,12,7,2019,17,27.3375,29.851375874166667
99,West,12,7,2019,18,27.6495,29.8535658625
99,West,12,7,2019,19,27.337,29.85398301
99,West,12,7,2019,20,27.0875,29.84214661
99,West,12,7,2019,21,26.7435,29.867748685
99,West,12,7,2019,22,26.775,29.9557655975
99,West,12,7,2019,23,26.619,29.96447342916667
99,West,12,8,2019,0,26.244,29.964264854166668
99,West,12,8,2019,1,26.3065,29.9790212475
99,West,12,8,2019,2,25.9005,30.038098945
99,West,12,8,2019,3,25.6815,30.067559581666668
99,West,12,8,2019,4,25.4005,30.108700188333334
99,West,12,8,2019,5,25.4315,30.15031008
99,West,12,8,2019,6,25.3695,30.1504665075
99,West,12,8,2019,7,25.1505,30.151874355
99,West,12,8,2019,8,25.1505,30.148693653333336
99,West,12,8,2019,9,24.9005,30.126897994166665
99,West,12,8,2019,10,24.838,30.1164173075
99,West,12,8,2019,11,24.619,30.0909195175
99,West,12,8,2019,12,24.713,30.068341721666663
99,West,12,8,2019,13,25.0565,30.029234684166667
99,West,12,8,2019,14,25.432,30.019014710000004
99,West,12,8,2019,15,25.963,30.0088468825
99,West,12,8,2019,16,26.307,30.01291401
99,West,12,8,2019,17,26.2755,30.011662588333333
99,West,12,8,2019,18,26.3375,30.00613546166667
99,West,12,8,2019,19,26.2755,30.000764763333336
99,West,12,8,2019,20,26.0565,30.00170333333333
99,West,12,8,2019,21,26.057,30.0024854725
99,West,12,8,2019,22,25.7755,30.00326761
99,West,12,8,2019,23,25.338,30.352258823333333
99,West,12,9,2019,0,25.0565,30.718665704166668
99,West,12,9,2019,1,25.088,31.27262993833333
99,West,12,9,2019,2,24.807,31.26079354333333
99,West,12,9,2019,3,25.1195,30.743016351666668
99,West,12,9,2019,4,25.0255,30.67278010833333
99,West,12,9,2019,5,24.8065,30.6917600575
99,West,12,9,2019,6,24.932,30.69311577
99,West,12,9,2019,7,24.7755,30.677420810833336
99,West,12,9,2019,8,24.682,30.678672236666667
99,West,12,9,2019,9,24.8695,30.790987655
99,West,12,9,2019,10,24.338,31.17418449
99,West,12,9,2019,11,24.6815,31.065727635833337
