hive,direction,month,dayofmonth,year,hourofday,temp,weight
82,East,11,26,2019,11,18.5135,
82,East,11,26,2019,12,22.2355,
82,East,11,26,2019,13,21.83,
82,East,11,26,2019,14,20.4225,
82,East,11,26,2019,15,21.674,
82,East,11,26,2019,16,20.36,
82,East,11,26,2019,17,20.1095,
82,East,11,26,2019,18,20.2035,
82,East,11,26,2019,19,19.6715,
82,East,11,26,2019,20,19.3585,
82,East,11,26,2019,21,19.046,
82,East,11,26,2019,22,17.762,
82,East,11,26,2019,23,17.512,
82,East,11,27,2019,0,17.8565,
82,East,11,27,2019,1,16.1025,
82,East,11,27,2019,2,14.944,
82,East,11,27,2019,3,13.816,
82,East,11,27,2019,4,13.534,
82,East,11,27,2019,5,13.3145,
82,East,11,27,2019,6,13.5965,
82,East,11,27,2019,7,13.44,
82,East,11,27,2019,8,13.4085,
82,East,11,27,2019,9,14.1605,
82,East,11,27,2019,10,14.2545,
82,East,11,27,2019,11,15.1005,
82,East,11,27,2019,12,15.8835,
82,East,11,27,2019,13,16.7605,
82,East,11,27,2019,14,17.7,
82,East,11,27,2019,15,18.8265,
82,East,11,27,2019,16,19.609,
82,East,11,27,2019,17,20.1095,
82,East,11,27,2019,18,20.266,
82,East,11,27,2019,19,20.8605,
82,East,11,27,2019,20,20.6105,
82,East,11,27,2019,21,20.3915,
82,East,11,27,2019,22,20.2345,
82,East,11,27,2019,23,19.5775,
82,East,11,28,2019,0,19.0775,
82,East,11,28,2019,1,18.6705,
82,East,11,28,2019,2,18.576,
82,East,11,28,2019,3,18.0755,
82,East,11,28,2019,4,17.7935,
82,East,11,28,2019,5,17.512,
82,East,11,28,2019,6,17.2615,
82,East,11,28,2019,7,17.0425,
82,East,11,28,2019,8,16.917,
82,East,11,28,2019,9,16.76,
82,East,11,28,2019,10,17.011,
82,East,11,28,2019,11,17.4805,
82,East,11,28,2019,12,17.9505,
82,East,11,28,2019,13,18.545,
82,East,11,28,2019,14,19.0455,
82,East,11,28,2019,15,18.952,
82,East,11,28,2019,16,18.8265,
82,East,11,28,2019,17,18.7015,
82,East,11,28,2019,18,18.451,
82,East,11,28,2019,19,18.545,
82,East,11,28,2019,20,18.42,
82,East,11,28,2019,21,17.919,
82,East,11,28,2019,22,17.011,
82,East,11,28,2019,23,16.4475,
82,East,11,29,2019,0,16.3535,
