hive,direction,month,dayofmonth,year,hourofday,temp,weight
84,West,11,26,2019,11,18.4855,
84,West,11,26,2019,12,22.1455,
84,West,11,26,2019,13,21.6465,
84,West,11,26,2019,14,26.677,
84,West,11,26,2019,15,34.419,
84,West,11,26,2019,16,34.575,
84,West,11,26,2019,17,34.6685,
84,West,11,26,2019,18,33.6085,
84,West,11,26,2019,19,33.266,
84,West,11,26,2019,20,33.2345,
84,West,11,26,2019,21,33.016,
84,West,11,26,2019,22,32.5485,
84,West,11,26,2019,23,32.7045,
84,West,11,27,2019,0,32.4855,
84,West,11,27,2019,1,32.954,
84,West,11,27,2019,2,33.0785,
84,West,11,27,2019,3,32.829,
84,West,11,27,2019,4,32.7975,
84,West,11,27,2019,5,32.548,
84,West,11,27,2019,6,32.392,
84,West,11,27,2019,7,32.3925,
84,West,11,27,2019,8,32.985,
84,West,11,27,2019,9,32.829,
84,West,11,27,2019,10,32.7975,
84,West,11,27,2019,11,32.8915,
84,West,11,27,2019,12,33.7335,
84,West,11,27,2019,13,33.5775,
84,West,11,27,2019,14,33.5775,
84,West,11,27,2019,15,33.9515,
84,West,11,27,2019,16,33.827,
84,West,11,27,2019,17,33.827,
84,West,11,27,2019,18,33.64,
84,West,11,27,2019,19,33.4215,
84,West,11,27,2019,20,33.515,
84,West,11,27,2019,21,33.3595,
84,West,11,27,2019,22,33.484,
84,West,11,27,2019,23,33.3595,
84,West,11,28,2019,0,33.11,
84,West,11,28,2019,1,33.172,
84,West,11,28,2019,2,32.8915,
84,West,11,28,2019,3,32.9535,
84,West,11,28,2019,4,32.798,
84,West,11,28,2019,5,32.517,
84,West,11,28,2019,6,32.5795,
84,West,11,28,2019,7,32.486,
84,West,11,28,2019,8,32.4235,
84,West,11,28,2019,9,32.4235,
84,West,11,28,2019,10,32.517,
84,West,11,28,2019,11,32.8915,
84,West,11,28,2019,12,32.735,
84,West,11,28,2019,13,32.7975,
84,West,11,28,2019,14,33.11,
84,West,11,28,2019,15,33.0165,
84,West,11,28,2019,16,32.7665,
84,West,11,28,2019,17,33.203,
84,West,11,28,2019,18,33.141,
84,West,11,28,2019,19,33.0785,
84,West,11,28,2019,20,33.0475,
84,West,11,28,2019,21,33.1095,
84,West,11,28,2019,22,33.0475,
84,West,11,28,2019,23,33.172,
84,West,11,29,2019,0,33.0785,
84,West,11,29,2019,1,32.798,
84,West,11,29,2019,2,32.6105,
84,West,11,29,2019,3,32.611,
84,West,11,29,2019,4,32.6415,
84,West,11,29,2019,5,32.6105,
84,West,11,29,2019,6,32.5795,
84,West,11,29,2019,7,32.8915,
84,West,11,29,2019,8,32.7355,
84,West,11,29,2019,9,32.7355,
84,West,11,29,2019,10,32.767,
84,West,11,29,2019,11,32.2985,
84,West,11,29,2019,12,32.361,
84,West,11,29,2019,13,32.018,
84,West,11,29,2019,14,31.7685,
84,West,11,29,2019,15,31.9555,
84,West,11,29,2019,16,31.706,
84,West,11,29,2019,17,31.924,
84,West,11,29,2019,18,32.0805,
84,West,11,29,2019,19,31.8935,
84,West,11,29,2019,20,31.9245,
84,West,11,29,2019,21,31.7685,
84,West,11,29,2019,22,31.5815,
84,West,11,29,2019,23,31.737,
84,West,11,30,2019,0,31.862,
84,West,11,30,2019,1,32.174,
84,West,11,30,2019,2,31.8,
84,West,11,30,2019,3,31.6435,
84,West,11,30,2019,4,31.55,
84,West,11,30,2019,5,31.8305,
84,West,11,30,2019,6,31.9555,
84,West,11,30,2019,7,31.269,
84,West,11,30,2019,8,31.9245,
84,West,11,30,2019,9,31.8935,
84,West,11,30,2019,10,31.082,
84,West,11,30,2019,11,31.2065,
84,West,11,30,2019,12,31.706,
84,West,11,30,2019,13,31.862,
84,West,11,30,2019,14,31.737,
84,West,11,30,2019,15,31.862,
84,West,11,30,2019,16,32.3925,
84,West,11,30,2019,17,32.2675,
84,West,11,30,2019,18,32.299,
84,West,11,30,2019,19,32.2055,
84,West,11,30,2019,20,32.174,
84,West,11,30,2019,21,31.9865,
84,West,11,30,2019,22,31.425,
84,West,11,30,2019,23,31.425,
84,West,12,1,2019,0,31.0195,
84,West,12,1,2019,1,30.8635,
84,West,12,1,2019,2,31.2065,
84,West,12,1,2019,3,30.52,
84,West,12,1,2019,4,30.8635,
84,West,12,1,2019,5,30.864,
84,West,12,1,2019,6,30.3955,
84,West,12,1,2019,7,30.2085,
84,West,12,1,2019,8,30.177,
84,West,12,1,2019,9,29.9895,
84,West,12,1,2019,10,30.5205,
84,West,12,1,2019,11,30.3955,
84,West,12,1,2019,12,30.676,
84,West,12,1,2019,13,31.082,
84,West,12,1,2019,14,31.893,
84,West,12,1,2019,15,32.6105,
84,West,12,1,2019,16,32.5485,
84,West,12,1,2019,17,32.3615,
84,West,12,1,2019,18,32.3925,
84,West,12,1,2019,19,32.018,
84,West,12,1,2019,20,32.33,
84,West,12,1,2019,21,32.174,
84,West,12,1,2019,22,32.1115,
84,West,12,1,2019,23,31.9245,
84,West,12,2,2019,0,31.7685,
84,West,12,2,2019,1,31.6125,
84,West,12,2,2019,2,32.049,
84,West,12,2,2019,3,31.394,
84,West,12,2,2019,4,31.644,
84,West,12,2,2019,5,31.3315,
84,West,12,2,2019,6,31.6125,
84,West,12,2,2019,7,31.1755,
84,West,12,2,2019,8,30.614,
84,West,12,2,2019,9,30.8635,
84,West,12,2,2019,10,31.2065,
84,West,12,2,2019,11,31.238,
84,West,12,2,2019,12,31.862,
84,West,12,2,2019,13,33.5775,
84,West,12,2,2019,14,34.544,
84,West,12,2,2019,15,34.388,
84,West,12,2,2019,16,34.513,
84,West,12,2,2019,17,34.357,
84,West,12,2,2019,18,34.139,
84,West,12,2,2019,19,34.201,
84,West,12,2,2019,20,33.7645,
84,West,12,2,2019,21,33.9515,
84,West,12,2,2019,22,33.9205,
84,West,12,2,2019,23,33.827,
84,West,12,3,2019,0,33.9515,44.18159533833333
84,West,12,3,2019,1,33.6085,44.183678690833325
84,West,12,3,2019,2,33.671,44.18685854583333
84,West,12,3,2019,3,33.671,44.18981910166667
84,West,12,3,2019,4,33.64,44.19223140916667
84,West,12,3,2019,5,33.7645,44.16821801666666
84,West,12,3,2019,6,33.7645,44.15396348833334
84,West,12,3,2019,7,33.858,44.14369292333333
84,West,12,3,2019,8,33.5465,44.1699358675
84,West,12,3,2019,9,33.5465,44.17830583166667
84,West,12,3,2019,10,33.297,44.14818857916666
84,West,12,3,2019,11,33.484,44.134409205
84,West,12,3,2019,12,33.328,44.13956276416667
84,West,12,3,2019,13,33.3595,44.149211979166665
84,West,12,3,2019,14,33.0785,44.14058616666667
84,West,12,3,2019,15,33.39,44.117705825
84,West,12,3,2019,16,33.359,44.11810787666667
84,West,12,3,2019,17,33.2345,44.111930915
84,West,12,3,2019,18,33.2345,44.09270558166667
84,West,12,3,2019,19,33.11,44.0808633625
84,West,12,3,2019,20,32.954,44.06843633916666
84,West,12,3,2019,21,32.829,43.98755104916666
84,West,12,3,2019,22,33.0785,44.06306348
84,West,12,3,2019,23,32.985,44.05951812166666
84,West,12,4,2019,0,32.9225,44.05732511916667
84,West,12,4,2019,1,33.0165,44.05224466166667
84,West,12,4,2019,2,33.203,44.0485896575
84,West,12,4,2019,3,33.172,44.04540979833333
84,West,12,4,2019,4,33.359,44.04318024583333
84,West,12,4,2019,5,33.11,44.0460677
84,West,12,4,2019,6,32.954,44.04398434749999
84,West,12,4,2019,7,33.016,44.04255889499999
84,West,12,4,2019,8,33.172,44.036857085
84,West,12,4,2019,9,32.829,44.025563115
84,West,12,4,2019,10,32.6105,44.0096638375
84,West,12,4,2019,11,32.8605,43.99932016916667
84,West,12,4,2019,12,32.673,43.98795309916667
84,West,12,4,2019,13,32.704,43.9896709525
84,West,12,4,2019,14,32.9535,43.96485345833333
84,West,12,4,2019,15,33.546,43.934187955
84,West,12,4,2019,16,33.5775,43.930934998333335
84,West,12,4,2019,17,33.328,43.92475803916667
84,West,12,4,2019,18,33.2965,43.87961871
84,West,12,4,2019,19,33.1405,43.84259349583333
84,West,12,4,2019,20,33.2655,43.79511496333333
84,West,12,4,2019,21,33.297,43.83056852333333
84,West,12,4,2019,22,33.515,43.8216137575
84,West,12,4,2019,23,33.047,43.81536369583333
84,West,12,5,2019,0,33.422,43.81097769083333
84,West,12,5,2019,1,33.2655,43.80604343
84,West,12,5,2019,2,33.359,43.80264427666666
84,West,12,5,2019,3,33.328,43.79990302
84,West,12,5,2019,4,33.297,43.80110917416667
84,West,12,5,2019,5,33.2965,43.800999520000005
84,West,12,5,2019,6,33.1405,43.79628456416666
84,West,12,5,2019,7,33.7645,43.79463981
84,West,12,5,2019,8,33.39,43.792593009166666
84,West,12,5,2019,9,33.2345,43.778630885000005
84,West,12,5,2019,10,33.3905,43.755750543333335
84,West,12,5,2019,11,33.0475,43.74913498083333
84,West,12,5,2019,12,32.5795,43.75147418583333
84,West,12,5,2019,13,32.8605,43.751437635
84,West,12,5,2019,14,32.6105,43.749500481666665
84,West,12,5,2019,15,32.9225,43.74683232583333
84,West,12,5,2019,16,32.86,43.73926646500001
84,West,12,5,2019,17,33.266,43.7230016875
84,West,12,5,2019,18,33.2965,43.71583787416666
84,West,12,5,2019,19,32.7975,43.71053811416667
84,West,12,5,2019,20,33.2345,43.70681000666667
84,West,12,5,2019,21,32.985,43.70549420416666
84,West,12,5,2019,22,32.7665,43.70527490416666
84,West,12,5,2019,23,32.5795,43.7061521075
84,West,12,6,2019,0,32.1425,43.709003012500006
84,West,12,6,2019,1,32.455,43.71393727
84,West,12,6,2019,2,32.143,43.720735585
84,West,12,6,2019,3,32.3615,43.72994619916667
84,West,12,6,2019,4,32.205,43.73648866083334
84,West,12,6,2019,5,32.08,43.74167877
84,West,12,6,2019,6,32.0495,43.74387177416667
84,West,12,6,2019,7,32.268,43.74716127916667
84,West,12,6,2019,8,32.5485,43.74880603083333
84,West,12,6,2019,9,32.2365,43.73531905916667
84,West,12,6,2019,10,32.704,43.69694148916667
84,West,12,6,2019,11,31.987,43.67292809916666
84,West,12,6,2019,12,31.862,43.66119553000001
84,West,12,6,2019,13,31.644,43.6670069875
84,West,12,6,2019,14,31.581,43.659112174166665
84,West,12,6,2019,15,31.987,43.658783222500006
84,West,12,6,2019,16,32.08,43.64456524916667
84,West,12,6,2019,17,32.7665,43.6302376225
84,West,12,6,2019,18,32.2365,43.62501096666667
84,West,12,6,2019,19,32.236,43.61876090416666
84,West,12,6,2019,20,32.018,43.6161293
84,West,12,6,2019,21,32.08,43.61368044416667
84,West,12,6,2019,22,31.9865,43.61276669083333
84,West,12,6,2019,23,32.049,43.615763799166665
84,West,12,7,2019,0,31.9555,43.61397284333333
84,West,12,7,2019,1,32.0805,43.614265245000006
84,West,12,7,2019,2,32.0805,43.61894365416666
84,West,12,7,2019,3,32.1115,43.62501096416667
84,West,12,7,2019,4,31.9555,43.63151687583333
84,West,12,7,2019,5,31.6435,43.63784003666667
84,West,12,7,2019,6,31.4565,43.64675825416666
84,West,12,7,2019,7,31.7685,43.65341036499999
84,West,12,7,2019,8,31.706,43.65242351416666
84,West,12,7,2019,9,31.862,43.637657286666666
84,West,12,7,2019,10,31.55,43.60596838166666
84,West,12,7,2019,11,31.6125,43.5747180775
84,West,12,7,2019,12,31.7995,43.57212302333334
84,West,12,7,2019,13,31.7685,43.57983508666666
84,West,12,7,2019,14,32.018,43.57881168416666
84,West,12,7,2019,15,31.5815,43.5690893675
84,West,12,7,2019,16,31.675,43.57029551833333
84,West,12,7,2019,17,31.737,43.56766391583333
84,West,12,7,2019,18,31.8,43.560573204166666
84,West,12,7,2019,19,31.6435,43.550850885
84,West,12,7,2019,20,31.6125,43.54964473416667
84,West,12,7,2019,21,31.9245,43.56609226333333
84,West,12,7,2019,22,31.456,43.6511442625
84,West,12,7,2019,23,31.737,43.65659021916667
84,West,12,8,2019,0,31.6125,43.64482109916667
84,West,12,8,2019,1,31.893,43.66558153583333
84,West,12,8,2019,2,31.862,43.71269456916667
84,West,12,8,2019,3,31.7375,43.72413473833333
84,West,12,8,2019,4,31.55,43.74405452416666
84,West,12,8,2019,5,31.55,43.756810495
84,West,12,8,2019,6,31.55,43.75143763666667
84,West,12,8,2019,7,31.55,43.74902533
84,West,12,8,2019,8,31.2065,43.74420072583333
84,West,12,8,2019,9,31.3625,43.73367430416667
84,West,12,8,2019,10,31.3005,43.71784812666667
84,West,12,8,2019,11,31.1445,43.69694148916667
84,West,12,8,2019,12,31.1755,43.676144505
84,West,12,8,2019,13,31.3,43.653775865
84,West,12,8,2019,14,31.394,43.652386963333335
84,West,12,8,2019,15,31.3005,43.65023050833333
84,West,12,8,2019,16,31.6125,43.65088840916667
84,West,12,8,2019,17,31.831,43.64938986000001
84,West,12,8,2019,18,31.9555,43.64723340333333
84,West,12,8,2019,19,31.9245,43.64485765
84,West,12,8,2019,20,32.0805,43.6440901
84,West,12,8,2019,21,31.519,43.64288394666666
84,West,12,8,2019,22,31.6125,43.64025234
84,West,12,8,2019,23,31.55,43.88974307749999
84,West,12,9,2019,0,31.425,44.05162331
84,West,12,9,2019,1,31.3625,44.021030907500005
84,West,12,9,2019,2,31.269,44.00198832499999
84,West,12,9,2019,3,31.4875,43.9863083475
84,West,12,9,2019,4,31.6125,43.98294574
84,West,12,9,2019,5,31.4565,44.02771956916666
84,West,12,9,2019,6,31.394,44.02885262083333
84,West,12,9,2019,7,31.5185,44.0239549125
84,West,12,9,2019,8,31.3625,44.01891100416668
84,West,12,9,2019,9,31.2065,44.100746595
84,West,12,9,2019,10,31.238,44.32150898166666
84,West,12,9,2019,11,31.2065,44.222604508333326
84,West,12,9,2019,12,31.082,44.13689460916667
84,West,12,9,2019,13,31.207,44.07475950083333
84,West,12,9,2019,14,31.1755,44.02771956833334
84,West,12,9,2019,15,31.082,44.00582607916667
84,West,12,9,2019,16,30.9885,44.00111112166667
84,West,12,9,2019,17,31.1445,44.00092837083333
84,West,12,9,2019,18,30.957,44.00279242583333
84,West,12,9,2019,19,30.801,44.00648397999999
84,West,12,9,2019,20,30.645,44.008640434166665
84,West,12,9,2019,21,30.801,44.01251474083333
84,West,12,9,2019,22,30.7075,44.01847240333333
84,West,12,9,2019,23,30.8635,44.02731751666667
84,West,12,10,2019,0,30.4265,44.03667433333333
84,West,12,10,2019,1,30.458,44.047931755
84,West,12,10,2019,2,30.52,44.05703271916667
84,West,12,10,2019,3,30.4265,44.06602403583333
84,West,12,10,2019,4,30.3645,44.067303288333335
84,West,12,10,2019,5,30.52,44.0874789225
84,West,12,10,2019,6,30.333,44.10261064916667
84,West,12,10,2019,7,30.6765,44.116134171666666
84,West,12,10,2019,8,30.676,44.12735504166667
84,West,12,10,2019,9,30.1145,44.12567374083333
