hive,direction,month,dayofmonth,year,hourofday,temp,weight
97,South,11,26,2019,11,18.5405,
97,South,11,26,2019,12,21.887,
97,South,11,26,2019,13,21.8875,
97,South,11,26,2019,14,23.3245,
97,South,11,26,2019,15,19.7925,
97,South,11,26,2019,16,20.011,
97,South,11,26,2019,17,19.823,
97,South,11,26,2019,18,18.04,
97,South,11,26,2019,19,15.5365,
97,South,11,26,2019,20,13.22,
97,South,11,26,2019,21,11.2155,
97,South,11,26,2019,22,9.6185,
97,South,11,26,2019,23,8.616,
97,South,11,27,2019,0,8.365,
97,South,11,27,2019,1,7.8635,
97,South,11,27,2019,2,7.2995,
97,South,11,27,2019,3,6.736,
97,South,11,27,2019,4,6.359,
97,South,11,27,2019,5,6.328,
97,South,11,27,2019,6,6.673,
97,South,11,27,2019,7,6.736,
97,South,11,27,2019,8,6.673,
97,South,11,27,2019,9,7.5505,
97,South,11,27,2019,10,9.1795,
97,South,11,27,2019,11,10.934,
97,South,11,27,2019,12,12.9695,
97,South,11,27,2019,13,15.161,
97,South,11,27,2019,14,17.289,
97,South,11,27,2019,15,19.041,
97,South,11,27,2019,16,19.9795,
97,South,11,27,2019,17,20.355,
97,South,11,27,2019,18,20.7305,
97,South,11,27,2019,19,19.792,
97,South,11,27,2019,20,19.1665,
97,South,11,27,2019,21,18.4155,
97,South,11,27,2019,22,17.696,
97,South,11,27,2019,23,17.039,
97,South,11,28,2019,0,16.507,
97,South,11,28,2019,1,15.912,
97,South,11,28,2019,2,15.3175,
97,South,11,28,2019,3,14.5975,
97,South,11,28,2019,4,14.0345,
97,South,11,28,2019,5,13.4705,
97,South,11,28,2019,6,12.9695,
97,South,11,28,2019,7,12.5935,
97,South,11,28,2019,8,12.4375,
97,South,11,28,2019,9,13.032,
97,South,11,28,2019,10,14.3785,
97,South,11,28,2019,11,15.9125,
97,South,11,28,2019,12,17.352,
97,South,11,28,2019,13,18.384,
97,South,11,28,2019,14,19.604,
97,South,11,28,2019,15,20.574,
97,South,11,28,2019,16,20.574,
97,South,11,28,2019,17,20.1365,
97,South,11,28,2019,18,19.4795,
97,South,11,28,2019,19,18.8845,
97,South,11,28,2019,20,18.447,
97,South,11,28,2019,21,18.1965,
97,South,11,28,2019,22,17.727,
97,South,11,28,2019,23,17.258,
97,South,11,29,2019,0,17.039,
97,South,11,29,2019,1,16.726,
97,South,11,29,2019,2,15.599,
97,South,11,29,2019,3,15.411,
97,South,11,29,2019,4,15.568,
97,South,11,29,2019,5,15.5365,
97,South,11,29,2019,6,15.036,
