hive,direction,month,dayofmonth,year,hourofday,temp,weight
90,South,11,26,2019,11,18.412,
90,South,11,26,2019,12,22.883,
90,South,11,26,2019,13,21.6335,
90,South,11,26,2019,14,22.978,
90,South,11,26,2019,15,28.103,
90,South,11,26,2019,16,27.9155,
90,South,11,26,2019,17,27.9465,
90,South,11,26,2019,18,28.353,
90,South,11,26,2019,19,27.572,
90,South,11,26,2019,20,26.791,
90,South,11,26,2019,21,26.1035,
90,South,11,26,2019,22,25.7595,
90,South,11,26,2019,23,24.572,
90,South,11,27,2019,0,23.1655,
90,South,11,27,2019,1,22.509,
90,South,11,27,2019,2,20.7895,
90,South,11,27,2019,3,20.1635,
90,South,11,27,2019,4,19.2255,
90,South,11,27,2019,5,17.505,
90,South,11,27,2019,6,16.973,
90,South,11,27,2019,7,16.6285,
90,South,11,27,2019,8,17.974,
90,South,11,27,2019,9,17.379,
90,South,11,27,2019,10,17.88,
90,South,11,27,2019,11,18.7245,
90,South,11,27,2019,12,20.2265,
90,South,11,27,2019,13,19.7885,
90,South,11,27,2019,14,20.539,
90,South,11,27,2019,15,21.8525,
90,South,11,27,2019,16,22.572,
90,South,11,27,2019,17,23.009,
90,South,11,27,2019,18,23.1345,
90,South,11,27,2019,19,22.978,
90,South,11,27,2019,20,22.8215,
90,South,11,27,2019,21,22.2905,
90,South,11,27,2019,22,22.384,
90,South,11,27,2019,23,21.6335,
90,South,11,28,2019,0,20.977,
90,South,11,28,2019,1,20.5705,
90,South,11,28,2019,2,20.289,
90,South,11,28,2019,3,19.382,
90,South,11,28,2019,4,18.975,
90,South,11,28,2019,5,18.5375,
90,South,11,28,2019,6,18.1305,
90,South,11,28,2019,7,17.6925,
90,South,11,28,2019,8,17.4105,
90,South,11,28,2019,9,17.442,
90,South,11,28,2019,10,18.631,
90,South,11,28,2019,11,18.5685,
90,South,11,28,2019,12,19.194,
90,South,11,28,2019,13,19.82,
90,South,11,28,2019,14,20.289,
90,South,11,28,2019,15,20.289,
90,South,11,28,2019,16,20.539,
90,South,11,28,2019,17,20.445,
90,South,11,28,2019,18,20.695,
90,South,11,28,2019,19,20.6955,
90,South,11,28,2019,20,20.414,
90,South,11,28,2019,21,20.226,
90,South,11,28,2019,22,19.7575,
90,South,11,28,2019,23,19.319,
90,South,11,29,2019,0,19.038,
90,South,11,29,2019,1,18.5055,
90,South,11,29,2019,2,18.2555,
90,South,11,29,2019,3,17.88,
90,South,11,29,2019,4,17.661,
90,South,11,29,2019,5,17.5985,
90,South,11,29,2019,6,17.317,
90,South,11,29,2019,7,18.068,
90,South,11,29,2019,8,17.5675,
90,South,11,29,2019,9,17.786,
90,South,11,29,2019,10,18.005,
90,South,11,29,2019,11,17.3795,
90,South,11,29,2019,12,18.412,
90,South,11,29,2019,13,17.3795,
90,South,11,29,2019,14,16.8475,
90,South,11,29,2019,15,16.8475,
90,South,11,29,2019,16,17.098,
90,South,11,29,2019,17,17.004,
90,South,11,29,2019,18,16.879,
90,South,11,29,2019,19,16.472,
90,South,11,29,2019,20,16.1905,
90,South,11,29,2019,21,16.128,
90,South,11,29,2019,22,15.69,
90,South,11,29,2019,23,14.938,
90,South,11,30,2019,0,14.3435,
90,South,11,30,2019,1,14.1245,
90,South,11,30,2019,2,13.498,
90,South,11,30,2019,3,13.7485,
90,South,11,30,2019,4,13.905,
90,South,11,30,2019,5,14.375,
90,South,11,30,2019,6,15.4705,
90,South,11,30,2019,7,13.749,
90,South,11,30,2019,8,15.7205,
90,South,11,30,2019,9,14.5315,
90,South,11,30,2019,10,14.406,
90,South,11,30,2019,11,16.3155,
90,South,11,30,2019,12,17.1605,
90,South,11,30,2019,13,18.287,
90,South,11,30,2019,14,19.3195,
90,South,11,30,2019,15,19.663,
90,South,11,30,2019,16,20.1325,
90,South,11,30,2019,17,20.4765,
90,South,11,30,2019,18,20.289,
90,South,11,30,2019,19,19.3815,
90,South,11,30,2019,20,18.6,
90,South,11,30,2019,21,17.63,
90,South,11,30,2019,22,16.4405,
90,South,11,30,2019,23,15.408,
90,South,12,1,2019,0,14.3745,
90,South,12,1,2019,1,13.561,
90,South,12,1,2019,2,12.8095,
90,South,12,1,2019,3,12.7465,
90,South,12,1,2019,4,11.839,
90,South,12,1,2019,5,10.899,
90,South,12,1,2019,6,11.4945,
90,South,12,1,2019,7,9.8655,
90,South,12,1,2019,8,9.834,
90,South,12,1,2019,9,11.275,
90,South,12,1,2019,10,13.185,
90,South,12,1,2019,11,15.095,
90,South,12,1,2019,12,16.0335,
90,South,12,1,2019,13,19.1625,
90,South,12,1,2019,14,20.289,
90,South,12,1,2019,15,21.2895,
90,South,12,1,2019,16,29.54,
90,South,12,1,2019,17,31.663,
90,South,12,1,2019,18,31.413,
90,South,12,1,2019,19,31.07,
90,South,12,1,2019,20,30.4455,
90,South,12,1,2019,21,29.977,
90,South,12,1,2019,22,28.79,
90,South,12,1,2019,23,27.6345,
90,South,12,2,2019,0,26.7285,
90,South,12,2,2019,1,25.541,
90,South,12,2,2019,2,24.6345,
90,South,12,2,2019,3,22.9465,
90,South,12,2,2019,4,20.758,
90,South,12,2,2019,5,21.5085,
90,South,12,2,2019,6,19.632,
90,South,12,2,2019,7,18.162,
90,South,12,2,2019,8,16.8165,
90,South,12,2,2019,9,15.658,
90,South,12,2,2019,10,15.9085,
90,South,12,2,2019,11,17.0975,
90,South,12,2,2019,12,20.57,
90,South,12,2,2019,13,30.726,
90,South,12,2,2019,14,33.9105,
90,South,12,2,2019,15,34.41,
90,South,12,2,2019,16,34.6905,
90,South,12,2,2019,17,34.597,
90,South,12,2,2019,18,34.5345,
90,South,12,2,2019,19,34.1915,
90,South,12,2,2019,20,34.1605,
90,South,12,2,2019,21,34.0355,
90,South,12,2,2019,22,34.098,
90,South,12,2,2019,23,33.973,
90,South,12,3,2019,0,34.0355,45.76725875
90,South,12,3,2019,1,33.7545,45.720430524166666
90,South,12,3,2019,2,33.4425,45.71127558916667
90,South,12,3,2019,3,33.567,45.7478590025
90,South,12,3,2019,4,33.5985,45.7558877375
90,South,12,3,2019,5,33.099,45.74440773833334
90,South,12,3,2019,6,32.974,45.6746195125
90,South,12,3,2019,7,33.2555,45.70742470166667
90,South,12,3,2019,8,32.943,45.63338597
90,South,12,3,2019,9,32.7865,45.59186179583333
90,South,12,3,2019,10,33.099,45.5657774925
90,South,12,3,2019,11,33.5045,45.62797293166667
90,South,12,3,2019,12,33.6925,45.613949895
90,South,12,3,2019,13,33.692,45.5899363525
90,South,12,3,2019,14,33.536,45.647699640000006
90,South,12,3,2019,15,33.255,45.56152698666667
90,South,12,3,2019,16,32.818,45.611588502500005
90,South,12,3,2019,17,32.4435,45.68682609583333
90,South,12,3,2019,18,32.4745,45.577729770833336
90,South,12,3,2019,19,32.35,45.540020150833335
90,South,12,3,2019,20,32.7245,45.5665404025
90,South,12,3,2019,21,32.7245,45.60842787083333
90,South,12,3,2019,22,32.756,45.56715799916666
90,South,12,3,2019,23,32.506,45.512373695
90,South,12,4,2019,0,32.069,45.52683268166667
90,South,12,4,2019,1,32.069,45.588519515
90,South,12,4,2019,2,32.1,45.60210660333333
90,South,12,4,2019,3,31.788,45.480513065
90,South,12,4,2019,4,31.8815,45.48825116333333
90,South,12,4,2019,5,31.6315,45.496425215
90,South,12,4,2019,6,31.195,45.59433217333333
